日期,股票代码,买卖类型,成交价
20240103,000669,1,2.28
20240103,603030,1,2.78
20240104,002564,1,4.1
20240104,000697,1,6.7
20240104,000669,2,2.28
20240104,603030,2,2.82
20240105,002564,2,4.14
20240105,000697,2,6.48
20240108,002564,1,4.16
20240109,600599,1,15.24
20240110,600599,2,16.1
20240110,002564,2,4.16
20240111,600599,1,15.78
20240115,600599,2,14.8
20240226,603007,1,6.44
20240226,600589,1,3.4
20240227,300209,1,2.9
20240227,000752,1,6.9
20240227,600589,2,3.56
20240228,002157,1,2.54
20240228,300209,2,2.99
20240228,000752,2,6.66
20240228,603007,2,6.56
20240229,600589,1,3.48
20240229,600112,1,2.08
20240301,300427,1,4.35
20240301,600589,2,3.72
20240304,300427,2,3.86
20240304,002157,2,2.56
20240305,002564,1,4.2
20240305,002721,1,2.72
20240306,002052,1,2.18
20240306,600112,2,2.66
20240306,002564,2,4.4
20240307,300313,1,10.08
20240307,002309,1,2.28
20240307,002721,2,2.88
20240307,002052,2,2.22
20240308,002502,1,1.89
20240308,603880,1,4.06
20240308,300313,2,10.17
20240308,002309,2,2.46
20240311,600589,1,4.22
20240311,600766,1,15.94
20240311,002502,2,1.96
20240311,603880,2,4.11
20240312,002021,1,1.82
20240312,603007,1,6.1
20240312,600589,2,4.38
20240313,000615,1,2.74
20240313,002021,2,1.83
20240314,002800,1,13.52
20240314,600766,2,15.98
20240314,603007,2,5.84
20240314,000615,2,2.76
20240315,600303,1,3.32
20240315,002592,1,5.58
20240315,600462,1,2.62
20240315,002800,2,13.61
20240318,002699,1,1.17
20240318,600303,2,3.54
20240318,002592,2,5.68
20240319,002822,1,3.06
20240319,600599,1,10.23
20240319,600462,2,2.72
20240320,002951,1,5.82
20240320,002699,2,1.11
20240320,002822,2,2.94
20240320,600599,2,11
20240321,600599,1,10.96
20240321,000697,1,6.78
20240322,600518,1,2.13
20240322,002951,2,6.28
20240322,000697,2,7.12
20240325,600518,2,2.28
20240325,600599,2,11.02
20240326,600518,1,2.22
20240326,002700,1,5.6
20240327,000525,1,9.01
20240327,002700,2,5.66
20240328,600518,2,2.1
20240328,000525,2,9.16
20240401,600589,1,4.7
20240402,600589,2,4.82
20240403,000697,1,7.76
20240403,600766,1,16.98
20240403,002289,1,5.06
20240403,600647,1,10.82
20240408,000697,2,8.01
20240408,002289,2,5.3
20240409,002086,1,2.52
20240409,000796,1,3.36
20240409,600766,2,15.61
20240409,600647,2,11.19
20240410,000889,1,1.78
20240410,002086,2,2.52
20240410,000796,2,3.38
20240411,000889,2,1.72
20240419,600182,1,14.89
20240419,600759,1,2.66
20240422,600182,2,15.36
20240423,600759,2,2.7
20240426,002700,1,5.9
20240429,002700,2,6.12
20240430,000839,1,2.08
20240506,300220,1,6.98
20240506,000669,1,1.52
20240506,000007,1,4.26
20240506,000839,2,2.22
20240507,000692,1,2.74
20240507,300220,2,7.14
20240507,000669,2,1.57
20240507,000007,2,4.08
20240508,000637,1,3.42
20240508,603001,1,4.72
20240508,603557,1,1.66
20240508,000692,2,2.9
20240509,000656,1,1.28
20240509,000637,2,3.47
20240509,603001,2,4.74
20240509,603557,2,1.8
20240510,600365,1,2.9
20240510,000656,2,1.33
20240513,000889,1,1.68
20240513,600365,2,2.78
20240514,000889,2,1.72
20240515,000809,1,2.17
20240515,603559,1,4.7
20240515,000839,1,2.32
20240516,600213,1,6.44
20240516,000809,2,2.22
20240516,603559,2,4.49
20240516,000839,2,2.45
20240517,600543,1,5.6
20240517,603557,1,1.86
20240517,600213,2,6.18
20240520,600136,1,1.74
20240520,600543,2,5.96
20240520,603557,2,2
20240521,603001,1,5.12
20240521,600136,2,1.68
20240522,000889,1,1.94
20240522,603001,2,5.2
20240523,002490,1,2.5
20240523,600589,1,3.98
20240523,000889,2,2.04
20240524,600165,1,1.96
20240524,002808,1,2.22
20240524,002490,2,2.42
20240527,603880,1,4.14
20240527,600589,2,3.76
20240528,600898,1,1.16
20240528,603880,2,4.18
20240529,000752,1,6.68
20240530,000752,2,6.78
20240531,002808,2,2.06
20240531,600898,2,1.1
20240603,002141,1,1.1
20240603,600599,1,10.17
20240604,603363,1,4.54
20240604,600165,2,1.76
20240605,600599,2,10.16
20240606,002310,1,1.43
20240611,002141,2,0.96
20240611,002310,2,1.35
20240612,000711,1,1.92
20240612,603363,2,4.26
20240613,000711,2,1.94
20240614,002310,1,1.4
20240617,002310,2,1.52
20240618,002310,1,1.52
20240618,002650,1,1.91
20240618,600666,1,1.3
20240619,600666,2,1.4
20240619,002310,2,1.55
20240620,600387,1,2.68
20240620,600666,1,1.38
20240620,000525,1,6.1
20240620,002650,2,2.16
20240621,600804,1,1.39
20240621,600666,2,1.38
20240621,600387,2,2.56
20240621,000525,2,6.1
20240625,002742,1,1.64
20240626,002742,2,1.68
20240627,600804,2,1.32
20240702,002052,1,1.03
20240702,002005,1,1.06
20240702,600518,1,1.91
20240703,002052,2,1.03
20240704,603117,1,4.68
20240705,300506,1,1.74
20240705,002005,2,1.01
20240705,600518,2,2.16
20240705,603117,2,4.86
20240708,300506,2,1.68
20240709,300108,1,1.38
20240709,600165,1,1.86
20240709,002052,1,1.06
20240709,000752,1,7.16
20240710,300108,2,1.38
20240710,000752,2,7.16
20240711,600117,1,2.22
20240711,600165,2,1.9
20240712,600462,1,1.38
20240712,002052,2,1.14
20240712,600117,2,2.38
