日期,委托时间,品种,股票代码,买卖类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2024-1-3,9:30:00,股票,ST金鸿(000669.XSHE),买,市价单,10900股,2.28,24852,10900股,-,0,5,全部成交,2024-1-3 9:30
2024-1-3,9:30:00,股票,*ST全筑(603030.XSHG),买,市价单,9000股,2.78,25020,9000股,-,0,5,全部成交,2024-1-3 9:30
2024-1-4,9:30:00,股票,*ST天沃(002564.XSHE),买,市价单,6100股,4.1,25010,6100股,-,0,5,全部成交,2024-1-4 9:30
2024-1-4,9:30:00,股票,*ST炼石(000697.XSHE),买,市价单,3700股,6.7,24790,3700股,-,0,5,全部成交,2024-1-4 9:30
2024-1-4,13:00:00,股票,ST金鸿(000669.XSHE),卖,市价单,-10900股,2.28,-24852,-10900股,-,0,17.43,全部成交,2024-1-4 13:00
2024-1-4,13:00:00,股票,*ST全筑(603030.XSHG),卖,市价单,-9000股,2.82,-25380,-9000股,-,360,17.69,全部成交,2024-1-4 13:00
2024-1-5,13:00:00,股票,*ST天沃(002564.XSHE),卖,市价单,-6100股,4.14,-25254,-6100股,-,244,17.63,全部成交,2024-1-5 13:00
2024-1-5,13:00:00,股票,*ST炼石(000697.XSHE),卖,市价单,-3700股,6.48,-23976,-3700股,-,-814,16.99,全部成交,2024-1-5 13:00
2024-1-8,9:30:00,股票,*ST天沃(002564.XSHE),买,市价单,6000股,4.16,24960,6000股,-,0,5,全部成交,2024-1-8 9:30
2024-1-9,9:30:00,股票,ST熊猫(600599.XSHG),买,市价单,1600股,15.24,24384,1600股,-,0,5,全部成交,2024-1-9 9:30
2024-1-10,13:00:00,股票,ST熊猫(600599.XSHG),卖,市价单,-1600股,16.1,-25760,-1600股,-,1376,17.88,全部成交,2024-1-10 13:00
2024-1-10,14:00:00,股票,*ST天沃(002564.XSHE),卖,市价单,-6000股,4.16,-24960,-6000股,-,0,17.48,全部成交,2024-1-10 14:00
2024-1-11,9:30:00,股票,ST熊猫(600599.XSHG),买,市价单,1600股,15.78,25248,1600股,-,0,5,全部成交,2024-1-11 9:30
2024-1-15,13:00:00,股票,ST熊猫(600599.XSHG),卖,市价单,-1600股,14.8,-23680,-1600股,-,-1568,16.84,全部成交,2024-1-15 13:00
2024-2-26,9:30:00,股票,ST花王(603007.XSHG),买,市价单,3800股,6.44,24472,3800股,-,0,5,全部成交,2024-2-26 9:30
2024-2-26,9:30:00,股票,*ST榕泰(600589.XSHG),买,市价单,7300股,3.4,24820,7300股,-,0,5,全部成交,2024-2-26 9:30
2024-2-27,9:30:00,股票,ST有棵树(300209.XSHE),买,市价单,8600股,2.9,24940,8600股,-,0,5,全部成交,2024-2-27 9:30
2024-2-27,9:30:00,股票,*ST西发(000752.XSHE),买,市价单,3600股,6.9,24840,3600股,-,0,5,全部成交,2024-2-27 9:30
2024-2-27,13:00:00,股票,*ST榕泰(600589.XSHG),卖,市价单,-7300股,3.56,-25988,-7300股,-,1168,17.99,全部成交,2024-2-27 13:00
2024-2-28,9:30:00,股票,*ST正邦(002157.XSHE),买,市价单,10300股,2.54,26162,10300股,-,0,5,全部成交,2024-2-28 9:30
2024-2-28,13:00:00,股票,ST有棵树(300209.XSHE),卖,市价单,-8600股,2.99,-25714,-8600股,-,774,17.86,全部成交,2024-2-28 13:00
2024-2-28,13:00:00,股票,*ST西发(000752.XSHE),卖,市价单,-3600股,6.66,-23976,-3600股,-,-864,16.99,全部成交,2024-2-28 13:00
